Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
,,10.48550/arXiv.2412.08116,False,,,,,False,,
,,10.48550/arXiv.2412.02366,False,,,,,False,,
,,10.48550/arXiv.2405.15199,False,,,,,False,,
,,10.48550/arXiv.2404.16637,False,,,,,False,,
Diffusemix: Label-Preserving Data Augmentation with Diffusion Models,,10.1109/CVPR52733.2024.02608,True,,2024,,IEEE,False,,"Islam, Khawar and Zaheer, Muhammad Zaigham and Mahmood, Arif and Nandakumar, Karthik"
,,10.48550/arXiv.2403.12003,False,,,,,False,,
,,10.48550/arXiv.2403.00570,False,,,,,False,,
Data Augmentation for Object Detection via Controllable Diffusion Models,,10.1109/WACV57701.2024.00129,True,,2024,,IEEE,False,,"Fang, Haoyang and Han, Boran and Zhang, Shuai and Zhou, Su and Hu, Cuixiong and Ye, Wen-Ming"
,,10.48550/arXiv.2312.03048,False,,,,,False,,
,,10.48550/arXiv.2311.14542,False,,,,,False,,
Diffusion Model as Representation Learner,,10.1109/ICCV51070.2023.01736,True,,2023,,IEEE,False,,"Yang, Xingyi and Wang, Xinchao"
,,10.48550/arXiv.2306.16064,False,,,,,False,,
,,10.48550/arXiv.2306.04542,False,,,,,False,,
,,10.48550/arXiv.2306.01322,False,,,,,False,,
,,10.48550/arXiv.2311.14542,False,,,,,False,,
